time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,25.0,56,8.4,2025-12-11,0,warm,23.88
2025-12-11 01:00:00,24.6,51,8.6,2025-12-11,1,warm,23.580000000000002
2025-12-11 02:00:00,24.3,48,8.9,2025-12-11,2,warm,23.34
2025-12-11 03:00:00,23.6,46,8.3,2025-12-11,3,warm,22.68
2025-12-11 04:00:00,23.3,46,8.9,2025-12-11,4,warm,22.38
2025-12-11 05:00:00,23.2,45,8.9,2025-12-11,5,warm,22.3
2025-12-11 06:00:00,22.8,45,8.6,2025-12-11,6,warm,21.900000000000002
2025-12-11 07:00:00,22.5,45,8.6,2025-12-11,7,warm,21.6
2025-12-11 08:00:00,23.9,49,7.6,2025-12-11,8,warm,22.919999999999998
2025-12-11 09:00:00,28.8,37,5.8,2025-12-11,9,warm,28.060000000000002
2025-12-11 10:00:00,31.2,31,5.9,2025-12-11,10,hot,30.58
2025-12-11 11:00:00,33.1,27,7.7,2025-12-11,11,hot,32.56
2025-12-11 12:00:00,34.8,24,7.7,2025-12-11,12,hot,34.32
2025-12-11 13:00:00,36.0,23,5.0,2025-12-11,13,hot,35.54
2025-12-11 14:00:00,36.1,21,2.9,2025-12-11,14,hot,35.68
2025-12-11 15:00:00,36.3,20,3.7,2025-12-11,15,hot,35.9
2025-12-11 16:00:00,35.8,21,7.8,2025-12-11,16,hot,35.379999999999995
2025-12-11 17:00:00,34.3,25,14.8,2025-12-11,17,hot,33.8
2025-12-11 18:00:00,31.9,32,12.7,2025-12-11,18,hot,31.259999999999998
2025-12-11 19:00:00,28.9,41,8.3,2025-12-11,19,warm,28.08
2025-12-11 20:00:00,27.0,50,2.9,2025-12-11,20,warm,26.0
2025-12-11 21:00:00,25.6,55,4.1,2025-12-11,21,warm,24.5
2025-12-11 22:00:00,23.8,62,5.3,2025-12-11,22,warm,22.560000000000002
2025-12-11 23:00:00,22.8,66,7.6,2025-12-11,23,warm,21.48
